Preprocessed Data is here!
['Feature 0 : 5.1', 'Feature 1 : 3.5', 'Feature 2 : 1.4', 'Feature 3 : 0.2', 'Feature 4 : Iris-setosa']
['Feature 0 : 4.8', 'Feature 1 : 3.1', 'Feature 2 : 1.6', 'Feature 3 : 0.2', 'Feature 4 : Iris-setosa']
['Feature 0 : 5.4', 'Feature 1 : 3.4', 'Feature 2 : 1.5', 'Feature 3 : 0.4', 'Feature 4 : Iris-setosa']
['Feature 0 : 5.2', 'Feature 1 : 4.1', 'Feature 2 : 1.5', 'Feature 3 : 0.1', 'Feature 4 : Iris-setosa']
['Feature 0 : 5.5', 'Feature 1 : 4.2', 'Feature 2 : 1.4', 'Feature 3 : 0.2', 'Feature 4 : Iris-setosa']
['Feature 0 : 4.9', 'Feature 1 : 3.1', 'Feature 2 : 1.5', 'Feature 3 : 0.1', 'Feature 4 : Iris-setosa']
['Feature 0 : 5.0', 'Feature 1 : 3.2', 'Feature 2 : 1.2', 'Feature 3 : 0.2', 'Feature 4 : Iris-setosa']
['Feature 0 : 5.5', 'Feature 1 : 3.5', 'Feature 2 : 1.3', 'Feature 3 : 0.2', 'Feature 4 : Iris-setosa']
['Feature 0 : 4.9', 'Feature 1 : 3.1', 'Feature 2 : 1.5', 'Feature 3 : 0.1', 'Feature 4 : Iris-setosa']
['Feature 0 : 4.4', 'Feature 1 : 3.0', 'Feature 2 : 1.3', 'Feature 3 : 0.2', 'Feature 4 : Iris-setosa']
['Feature 0 : 5.1', 'Feature 1 : 3.4', 'Feature 2 : 1.5', 'Feature 3 : 0.2', 'Feature 4 : Iris-setosa']
['Feature 0 : 5.0', 'Feature 1 : 3.5', 'Feature 2 : 1.3', 'Feature 3 : 0.3', 'Feature 4 : Iris-setosa']
['Feature 0 : 4.5', 'Feature 1 : 2.3', 'Feature 2 : 1.3', 'Feature 3 : 0.3', 'Feature 4 : Iris-setosa']
['Feature 0 : 4.4', 'Feature 1 : 3.2', 'Feature 2 : 1.3', 'Feature 3 : 0.2', 'Feature 4 : Iris-setosa']
['Feature 0 : 5.0', 'Feature 1 : 3.5', 'Feature 2 : 1.6', 'Feature 3 : 0.6', 'Feature 4 : Iris-setosa']
['Feature 0 : 5.1', 'Feature 1 : 3.8', 'Feature 2 : 1.9', 'Feature 3 : 0.4', 'Feature 4 : Iris-setosa']
['Feature 0 : 4.8', 'Feature 1 : 3.0', 'Feature 2 : 1.4', 'Feature 3 : 0.3', 'Feature 4 : Iris-setosa']
['Feature 0 : 5.1', 'Feature 1 : 3.8', 'Feature 2 : 1.6', 'Feature 3 : 0.2', 'Feature 4 : Iris-setosa']
['Feature 0 : 4.6', 'Feature 1 : 3.2', 'Feature 2 : 1.4', 'Feature 3 : 0.2', 'Feature 4 : Iris-setosa']
['Feature 0 : 5.3', 'Feature 1 : 3.7', 'Feature 2 : 1.5', 'Feature 3 : 0.2', 'Feature 4 : Iris-setosa']
['Feature 0 : 5.0', 'Feature 1 : 3.3', 'Feature 2 : 1.4', 'Feature 3 : 0.2', 'Feature 4 : Iris-setosa']
['Feature 0 : 7.0', 'Feature 1 : 3.2', 'Feature 2 : 4.7', 'Feature 3 : 1.4', 'Feature 4 : Iris-versicolor']
['Feature 0 : 6.4', 'Feature 1 : 3.2', 'Feature 2 : 4.5', 'Feature 3 : 1.5', 'Feature 4 : Iris-versicolor']
['Feature 0 : 6.9', 'Feature 1 : 3.1', 'Feature 2 : 4.9', 'Feature 3 : 1.5', 'Feature 4 : Iris-versicolor']
['Feature 0 : 5.5', 'Feature 1 : 2.3', 'Feature 2 : 4.0', 'Feature 3 : 1.3', 'Feature 4 : Iris-versicolor']
['Feature 0 : 6.5', 'Feature 1 : 2.8', 'Feature 2 : 4.6', 'Feature 3 : 1.5', 'Feature 4 : Iris-versicolor']
['Feature 0 : 5.7', 'Feature 1 : 2.8', 'Feature 2 : 4.5', 'Feature 3 : 1.3', 'Feature 4 : Iris-versicolor']
['Feature 0 : 6.3', 'Feature 1 : 3.3', 'Feature 2 : 4.7', 'Feature 3 : 1.6', 'Feature 4 : Iris-versicolor']
['Feature 0 : 4.9', 'Feature 1 : 2.4', 'Feature 2 : 3.3', 'Feature 3 : 1.0', 'Feature 4 : Iris-versicolor']
['Feature 0 : 6.6', 'Feature 1 : 2.9', 'Feature 2 : 4.6', 'Feature 3 : 1.3', 'Feature 4 : Iris-versicolor']
['Feature 0 : 5.2', 'Feature 1 : 2.7', 'Feature 2 : 3.9', 'Feature 3 : 1.4', 'Feature 4 : Iris-versicolor']
['Feature 0 : 5.0', 'Feature 1 : 2.0', 'Feature 2 : 3.5', 'Feature 3 : 1.0', 'Feature 4 : Iris-versicolor']
['Feature 0 : 5.9', 'Feature 1 : 3.0', 'Feature 2 : 4.2', 'Feature 3 : 1.5', 'Feature 4 : Iris-versicolor']
['Feature 0 : 6.0', 'Feature 1 : 2.2', 'Feature 2 : 4.0', 'Feature 3 : 1.0', 'Feature 4 : Iris-versicolor']
['Feature 0 : 6.1', 'Feature 1 : 2.9', 'Feature 2 : 4.7', 'Feature 3 : 1.4', 'Feature 4 : Iris-versicolor']
['Feature 0 : 5.6', 'Feature 1 : 2.9', 'Feature 2 : 3.6', 'Feature 3 : 1.3', 'Feature 4 : Iris-versicolor']
['Feature 0 : 6.7', 'Feature 1 : 3.1', 'Feature 2 : 4.4', 'Feature 3 : 1.4', 'Feature 4 : Iris-versicolor']
['Feature 0 : 5.6', 'Feature 1 : 3.0', 'Feature 2 : 4.5', 'Feature 3 : 1.5', 'Feature 4 : Iris-versicolor']
['Feature 0 : 5.8', 'Feature 1 : 2.7', 'Feature 2 : 4.1', 'Feature 3 : 1.0', 'Feature 4 : Iris-versicolor']
['Feature 0 : 6.2', 'Feature 1 : 2.2', 'Feature 2 : 4.5', 'Feature 3 : 1.5', 'Feature 4 : Iris-versicolor']
['Feature 0 : 5.6', 'Feature 1 : 2.5', 'Feature 2 : 3.9', 'Feature 3 : 1.1', 'Feature 4 : Iris-versicolor']
['Feature 0 : 5.9', 'Feature 1 : 3.2', 'Feature 2 : 4.8', 'Feature 3 : 1.8', 'Feature 4 : Iris-versicolor']
['Feature 0 : 6.1', 'Feature 1 : 2.8', 'Feature 2 : 4.0', 'Feature 3 : 1.3', 'Feature 4 : Iris-versicolor']
['Feature 0 : 6.3', 'Feature 1 : 2.5', 'Feature 2 : 4.9', 'Feature 3 : 1.5', 'Feature 4 : Iris-versicolor']
['Feature 0 : 6.1', 'Feature 1 : 2.8', 'Feature 2 : 4.7', 'Feature 3 : 1.2', 'Feature 4 : Iris-versicolor']
['Feature 0 : 6.4', 'Feature 1 : 2.9', 'Feature 2 : 4.3', 'Feature 3 : 1.3', 'Feature 4 : Iris-versicolor']
['Feature 0 : 6.6', 'Feature 1 : 3.0', 'Feature 2 : 4.4', 'Feature 3 : 1.4', 'Feature 4 : Iris-versicolor']
['Feature 0 : 6.8', 'Feature 1 : 2.8', 'Feature 2 : 4.8', 'Feature 3 : 1.4', 'Feature 4 : Iris-versicolor']
['Feature 0 : 6.7', 'Feature 1 : 3.0', 'Feature 2 : 5.0', 'Feature 3 : 1.7', 'Feature 4 : Iris-versicolor']
['Feature 0 : 6.0', 'Feature 1 : 2.9', 'Feature 2 : 4.5', 'Feature 3 : 1.5', 'Feature 4 : Iris-versicolor']
['Feature 0 : 5.7', 'Feature 1 : 2.6', 'Feature 2 : 3.5', 'Feature 3 : 1.0', 'Feature 4 : Iris-versicolor']
['Feature 0 : 5.5', 'Feature 1 : 2.4', 'Feature 2 : 3.8', 'Feature 3 : 1.1', 'Feature 4 : Iris-versicolor']
['Feature 0 : 5.5', 'Feature 1 : 2.4', 'Feature 2 : 3.7', 'Feature 3 : 1.0', 'Feature 4 : Iris-versicolor']
['Feature 0 : 5.8', 'Feature 1 : 2.7', 'Feature 2 : 3.9', 'Feature 3 : 1.2', 'Feature 4 : Iris-versicolor']
['Feature 0 : 6.0', 'Feature 1 : 2.7', 'Feature 2 : 5.1', 'Feature 3 : 1.6', 'Feature 4 : Iris-versicolor']
['Feature 0 : 5.4', 'Feature 1 : 3.0', 'Feature 2 : 4.5', 'Feature 3 : 1.5', 'Feature 4 : Iris-versicolor']
['Feature 0 : 6.0', 'Feature 1 : 3.4', 'Feature 2 : 4.5', 'Feature 3 : 1.6', 'Feature 4 : Iris-versicolor']
['Feature 0 : 6.7', 'Feature 1 : 3.1', 'Feature 2 : 4.7', 'Feature 3 : 1.5', 'Feature 4 : Iris-versicolor']
['Feature 0 : 6.3', 'Feature 1 : 2.3', 'Feature 2 : 4.4', 'Feature 3 : 1.3', 'Feature 4 : Iris-versicolor']
['Feature 0 : 5.6', 'Feature 1 : 3.0', 'Feature 2 : 4.1', 'Feature 3 : 1.3', 'Feature 4 : Iris-versicolor']
['Feature 0 : 5.5', 'Feature 1 : 2.5', 'Feature 2 : 4.0', 'Feature 3 : 1.3', 'Feature 4 : Iris-versicolor']
['Feature 0 : 5.5', 'Feature 1 : 2.6', 'Feature 2 : 4.4', 'Feature 3 : 1.2', 'Feature 4 : Iris-versicolor']
['Feature 0 : 6.1', 'Feature 1 : 3.0', 'Feature 2 : 4.6', 'Feature 3 : 1.4', 'Feature 4 : Iris-versicolor']
['Feature 0 : 5.8', 'Feature 1 : 2.6', 'Feature 2 : 4.0', 'Feature 3 : 1.2', 'Feature 4 : Iris-versicolor']
['Feature 0 : 5.0', 'Feature 1 : 2.3', 'Feature 2 : 3.3', 'Feature 3 : 1.0', 'Feature 4 : Iris-versicolor']
['Feature 0 : 5.6', 'Feature 1 : 2.7', 'Feature 2 : 4.2', 'Feature 3 : 1.3', 'Feature 4 : Iris-versicolor']
['Feature 0 : 5.7', 'Feature 1 : 3.0', 'Feature 2 : 4.2', 'Feature 3 : 1.2', 'Feature 4 : Iris-versicolor']
['Feature 0 : 5.7', 'Feature 1 : 2.9', 'Feature 2 : 4.2', 'Feature 3 : 1.3', 'Feature 4 : Iris-versicolor']
['Feature 0 : 6.2', 'Feature 1 : 2.9', 'Feature 2 : 4.3', 'Feature 3 : 1.3', 'Feature 4 : Iris-versicolor']
['Feature 0 : 5.1', 'Feature 1 : 2.5', 'Feature 2 : 3.0', 'Feature 3 : 1.1', 'Feature 4 : Iris-versicolor']
['Feature 0 : 5.7', 'Feature 1 : 2.8', 'Feature 2 : 4.1', 'Feature 3 : 1.3', 'Feature 4 : Iris-versicolor']
['Feature 0 : 6.3', 'Feature 1 : 3.3', 'Feature 2 : 6.0', 'Feature 3 : 2.5', 'Feature 4 : Iris-virginica']
['Feature 0 : 5.8', 'Feature 1 : 2.7', 'Feature 2 : 5.1', 'Feature 3 : 1.9', 'Feature 4 : Iris-virginica']
['Feature 0 : 7.1', 'Feature 1 : 3.0', 'Feature 2 : 5.9', 'Feature 3 : 2.1', 'Feature 4 : Iris-virginica']
['Feature 0 : 6.3', 'Feature 1 : 2.9', 'Feature 2 : 5.6', 'Feature 3 : 1.8', 'Feature 4 : Iris-virginica']
['Feature 0 : 6.5', 'Feature 1 : 3.0', 'Feature 2 : 5.8', 'Feature 3 : 2.2', 'Feature 4 : Iris-virginica']
['Feature 0 : 7.6', 'Feature 1 : 3.0', 'Feature 2 : 6.6', 'Feature 3 : 2.1', 'Feature 4 : Iris-virginica']
['Feature 0 : 4.9', 'Feature 1 : 2.5', 'Feature 2 : 4.5', 'Feature 3 : 1.7', 'Feature 4 : Iris-virginica']
['Feature 0 : 7.3', 'Feature 1 : 2.9', 'Feature 2 : 6.3', 'Feature 3 : 1.8', 'Feature 4 : Iris-virginica']
['Feature 0 : 6.7', 'Feature 1 : 2.5', 'Feature 2 : 5.8', 'Feature 3 : 1.8', 'Feature 4 : Iris-virginica']
['Feature 0 : 7.2', 'Feature 1 : 3.6', 'Feature 2 : 6.1', 'Feature 3 : 2.5', 'Feature 4 : Iris-virginica']
['Feature 0 : 6.5', 'Feature 1 : 3.2', 'Feature 2 : 5.1', 'Feature 3 : 2.0', 'Feature 4 : Iris-virginica']
['Feature 0 : 6.4', 'Feature 1 : 2.7', 'Feature 2 : 5.3', 'Feature 3 : 1.9', 'Feature 4 : Iris-virginica']
['Feature 0 : 6.8', 'Feature 1 : 3.0', 'Feature 2 : 5.5', 'Feature 3 : 2.1', 'Feature 4 : Iris-virginica']
['Feature 0 : 5.7', 'Feature 1 : 2.5', 'Feature 2 : 5.0', 'Feature 3 : 2.0', 'Feature 4 : Iris-virginica']
['Feature 0 : 5.8', 'Feature 1 : 2.8', 'Feature 2 : 5.1', 'Feature 3 : 2.4', 'Feature 4 : Iris-virginica']
['Feature 0 : 6.4', 'Feature 1 : 3.2', 'Feature 2 : 5.3', 'Feature 3 : 2.3', 'Feature 4 : Iris-virginica']
['Feature 0 : 6.5', 'Feature 1 : 3.0', 'Feature 2 : 5.5', 'Feature 3 : 1.8', 'Feature 4 : Iris-virginica']
['Feature 0 : 7.7', 'Feature 1 : 3.8', 'Feature 2 : 6.7', 'Feature 3 : 2.2', 'Feature 4 : Iris-virginica']
['Feature 0 : 7.7', 'Feature 1 : 2.6', 'Feature 2 : 6.9', 'Feature 3 : 2.3', 'Feature 4 : Iris-virginica']
['Feature 0 : 6.0', 'Feature 1 : 2.2', 'Feature 2 : 5.0', 'Feature 3 : 1.5', 'Feature 4 : Iris-virginica']
['Feature 0 : 6.9', 'Feature 1 : 3.2', 'Feature 2 : 5.7', 'Feature 3 : 2.3', 'Feature 4 : Iris-virginica']
['Feature 0 : 5.6', 'Feature 1 : 2.8', 'Feature 2 : 4.9', 'Feature 3 : 2.0', 'Feature 4 : Iris-virginica']
['Feature 0 : 7.7', 'Feature 1 : 2.8', 'Feature 2 : 6.7', 'Feature 3 : 2.0', 'Feature 4 : Iris-virginica']
['Feature 0 : 6.3', 'Feature 1 : 2.7', 'Feature 2 : 4.9', 'Feature 3 : 1.8', 'Feature 4 : Iris-virginica']
['Feature 0 : 6.7', 'Feature 1 : 3.3', 'Feature 2 : 5.7', 'Feature 3 : 2.1', 'Feature 4 : Iris-virginica']
['Feature 0 : 7.2', 'Feature 1 : 3.2', 'Feature 2 : 6.0', 'Feature 3 : 1.8', 'Feature 4 : Iris-virginica']
['Feature 0 : 6.2', 'Feature 1 : 2.8', 'Feature 2 : 4.8', 'Feature 3 : 1.8', 'Feature 4 : Iris-virginica']
['Feature 0 : 6.1', 'Feature 1 : 3.0', 'Feature 2 : 4.9', 'Feature 3 : 1.8', 'Feature 4 : Iris-virginica']
['Feature 0 : 6.4', 'Feature 1 : 2.8', 'Feature 2 : 5.6', 'Feature 3 : 2.1', 'Feature 4 : Iris-virginica']
['Feature 0 : 7.2', 'Feature 1 : 3.0', 'Feature 2 : 5.8', 'Feature 3 : 1.6', 'Feature 4 : Iris-virginica']
['Feature 0 : 7.4', 'Feature 1 : 2.8', 'Feature 2 : 6.1', 'Feature 3 : 1.9', 'Feature 4 : Iris-virginica']
['Feature 0 : 7.9', 'Feature 1 : 3.8', 'Feature 2 : 6.4', 'Feature 3 : 2.0', 'Feature 4 : Iris-virginica']
['Feature 0 : 6.4', 'Feature 1 : 2.8', 'Feature 2 : 5.6', 'Feature 3 : 2.2', 'Feature 4 : Iris-virginica']
['Feature 0 : 6.3', 'Feature 1 : 2.8', 'Feature 2 : 5.1', 'Feature 3 : 1.5', 'Feature 4 : Iris-virginica']
['Feature 0 : 6.1', 'Feature 1 : 2.6', 'Feature 2 : 5.6', 'Feature 3 : 1.4', 'Feature 4 : Iris-virginica']
['Feature 0 : 7.7', 'Feature 1 : 3.0', 'Feature 2 : 6.1', 'Feature 3 : 2.3', 'Feature 4 : Iris-virginica']
['Feature 0 : 6.3', 'Feature 1 : 3.4', 'Feature 2 : 5.6', 'Feature 3 : 2.4', 'Feature 4 : Iris-virginica']
['Feature 0 : 6.4', 'Feature 1 : 3.1', 'Feature 2 : 5.5', 'Feature 3 : 1.8', 'Feature 4 : Iris-virginica']
['Feature 0 : 6.0', 'Feature 1 : 3.0', 'Feature 2 : 4.8', 'Feature 3 : 1.8', 'Feature 4 : Iris-virginica']
['Feature 0 : 6.9', 'Feature 1 : 3.1', 'Feature 2 : 5.4', 'Feature 3 : 2.1', 'Feature 4 : Iris-virginica']
['Feature 0 : 6.7', 'Feature 1 : 3.1', 'Feature 2 : 5.6', 'Feature 3 : 2.4', 'Feature 4 : Iris-virginica']
['Feature 0 : 6.9', 'Feature 1 : 3.1', 'Feature 2 : 5.1', 'Feature 3 : 2.3', 'Feature 4 : Iris-virginica']
['Feature 0 : 5.8', 'Feature 1 : 2.7', 'Feature 2 : 5.1', 'Feature 3 : 1.9', 'Feature 4 : Iris-virginica']
['Feature 0 : 6.8', 'Feature 1 : 3.2', 'Feature 2 : 5.9', 'Feature 3 : 2.3', 'Feature 4 : Iris-virginica']
['Feature 0 : 6.7', 'Feature 1 : 3.3', 'Feature 2 : 5.7', 'Feature 3 : 2.5', 'Feature 4 : Iris-virginica']
['Feature 0 : 6.7', 'Feature 1 : 3.0', 'Feature 2 : 5.2', 'Feature 3 : 2.3', 'Feature 4 : Iris-virginica']
['Feature 0 : 6.3', 'Feature 1 : 2.5', 'Feature 2 : 5.0', 'Feature 3 : 1.9', 'Feature 4 : Iris-virginica']
['Feature 0 : 6.5', 'Feature 1 : 3.0', 'Feature 2 : 5.2', 'Feature 3 : 2.0', 'Feature 4 : Iris-virginica']
['Feature 0 : 6.2', 'Feature 1 : 3.4', 'Feature 2 : 5.4', 'Feature 3 : 2.3', 'Feature 4 : Iris-virginica']
['Feature 0 : 5.9', 'Feature 1 : 3.0', 'Feature 2 : 5.1', 'Feature 3 : 1.8', 'Feature 4 : Iris-virginica']
